country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","15-02-2026 11:00:00"," 16.5038",74.3623,SO2,7,34,18
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","15-02-2026 11:00:00",17.6336264,75.9132495,SO2,5,15,8
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","15-02-2026 11:00:00",17.65439,75.90649,PM2.5,12,57,36
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","15-02-2026 11:00:00",19.26777,72.97182,OZONE,1,118,26
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","15-02-2026 11:00:00",19.222279,72.957979,NO2,13,81,39
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","15-02-2026 11:00:00",19.235581,73.159121,PM2.5,57,201,139
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","15-02-2026 11:00:00",19.235581,73.159121,NH3,4,10,7
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","15-02-2026 11:00:00",19.235581,73.159121,SO2,7,10,9
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","15-02-2026 11:00:00",19.173852,77.296291,PM10,82,147,110
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","15-02-2026 11:00:00",19.173852,77.296291,CO,11,30,20
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB","15-02-2026 11:00:00",20.0073285,73.7762427,PM10,61,214,113
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB","15-02-2026 11:00:00",20.0073285,73.7762427,CO,21,22,22
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","15-02-2026 11:00:00",19.950220,73.731480,PM2.5,32,75,48
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","15-02-2026 11:00:00",19.950220,73.731480,PM10,75,131,97
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","15-02-2026 11:00:00",19.950220,73.731480,SO2,16,25,19
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","15-02-2026 11:00:00",19.950220,73.731480,CO,28,32,29
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","15-02-2026 11:00:00",19.090337,73.014232,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","15-02-2026 11:00:00",19.047000,72.874600,OZONE,2,8,7
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","15-02-2026 11:00:00",21.121801,79.04952,PM2.5,114,305,203
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","15-02-2026 11:00:00",21.121801,79.04952,NO2,7,96,25
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","15-02-2026 11:00:00",21.14472,79.107595,PM2.5,112,255,176
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","15-02-2026 11:00:00",21.14472,79.107595,NH3,7,13,9
